x1,x2,x3,yobj1,yobj2
15.00000001,15.00000001,20.00000001,111.860784861872,0.00876302515802794
15.00000001,15.00000001,21.00000001,65.7623695552683,0.0137050220541637
15.00000001,15.00000001,22.00000001,45.4826958353515,0.018231978256217
15.00000001,15.00000001,23.00000001,34.2068112819838,0.0223758992390639
15.00000001,15.00000001,24.00000001,27.0186683522193,0.0261844901328698
15.00000001,15.00000001,25.00000001,22.061439320195,0.0296908475082451
15.00000001,15.00000001,26.00000001,18.4550093100684,0.0329280679358001
15.00000001,15.00000001,27.00000001,15.7176696145103,0.0358588723112758
15.00000001,15.00000001,28.00000001,13.5851360177159,0.0385773373335501
15.00000001,15.00000001,29.00000001,11.8808176897385,0.0411377147071948
15.00000001,15.00000001,30.00000001,10.4754791487381,0.0434017080478738
15.00000001,15.00000001,31.00000001,9.32478332118823,0.0455103414792593
15.00000001,15.00000001,32.00000001,8.35166387005946,0.0474620692823941
15.00000001,15.00000001,33.00000001,7.52369963606888,0.0492527695400594
15.00000001,15.00000001,34.00000001,6.82695873897167,0.0509667293977381
15.00000001,15.00000001,35.00000001,6.21145838142429,0.0524908082894151
15.00000001,15.00000001,36.00000001,5.67770749968198,0.0538863197337213
15.00000001,15.00000001,37.00000001,5.19939876464003,0.0551017700736355
15.00000001,15.00000001,38.00000001,4.78946698731077,0.056319311680374
15.00000001,15.00000001,39.00000001,4.41906787535482,0.0573622779696074
15.00000001,15.00000001,40.00000001,4.09106102499582,0.0583492649860228
15.00000001,15.00000001,41.00000001,3.79892536449767,0.0593111264923319
15.00000001,15.00000001,42.00000001,3.53235355491046,0.0601053229541206
15.00000001,15.00000001,43.00000001,3.29463291074222,0.0608817588020104
15.00000001,15.00000001,44.00000001,3.07537999033327,0.0615163522044273
15.00000001,15.00000001,45.00000001,2.87928209499121,0.0621550069076333
15.00000001,15.00000001,46.00000001,2.70383547751215,0.0628140893476446
15.00000001,15.00000001,47.00000001,2.54059620102506,0.0633531512568712
15.00000001,15.00000001,48.00000001,2.38788704267464,0.063784103763747
15.00000001,15.00000001,49.00000001,2.25144764629727,0.0642505471902059
15.00000001,15.00000001,50.00000001,2.12360285756573,0.0646078810432241
15.00000001,15.00000001,51.00000001,2.00356538417657,0.0648561053228016
15.00000001,15.00000001,52.00000001,1.89599716671248,0.0651793424341196
15.00000001,15.00000001,53.00000001,1.79461992579309,0.0654043809293409
15.00000001,15.00000001,54.00000001,1.7039704309585,0.0657262541709909
15.00000001,15.00000001,55.00000001,1.61333553609606,0.0657603509126911
